Status,Title,IPC,Application Number,Application Date,Applicant,Holder,Citations,Abstract
공개,머신러닝을 이용한 통신 신호 검파 방법 및 장치(METHOD AND APPARATUS FOR DETECTING SYNCHRONIZING SIGNAL USING MACHINE LEARNING),"H04L 27/26, G06N 20/00, G06N 3/0464, H04B 17/364, H04L 7/04",N/A,N/A,1020230056253 (2023.04.28),N/A,N/A,"본 발명은 이동통신의 동기화 과정에 적용할 수 있는 것으로, 기존 상관 전력 기반의 검파기술에 머신러닝 접근방법을 접목하여 상관 전력 기반 방식의 출력 결과를 이용하여 변형한 복소 지연 프로파일을 머신러닝 모델의 입력으로 제공하여 낮은 신호 대 잡음비에서도 높위 검파 성능을 보장하는 발명이다."
등록,머신러닝 작업 기능을 포함하는 머신러닝 플랫폼 시스템(MACHINE LEARNING PLATFORM SYSTEM BASED ON SOFTWARE-DEFINED MANUFACTURING WITH MACHINE LEARNING OPERATIINS FUNCTION),"G06N 20/00, G06F 8/65, G06F 8/70",N/A,N/A,1020230123805 (2023.09.18),N/A,N/A,"머신러닝 작업 기능을 포함하는 머신러닝 플랫폼 시스템이 개시된다. 머신러닝 플랫폼 시스템은, 각 기능의 모듈이 DAG(Directed Acyclic Graph) 형태로 연결되어 구성된 소프트웨어 정의 환경(software-defined environment)에서 사용되는 머신러닝 모델을 유지관리 및 모니터링하는 MLOps(Machine Learning Operations) 기능을 제공할 수 있다."
공개,머신러닝 기반의 데이팅 커뮤니티 시스템(Machine learning based dating community system),"G06Q 50/10, G06N 20/00, G06F 16/535, G06F 16/9537",N/A,N/A,1020220186863 (2022.12.28),N/A,N/A,"호감 상대와의 데이팅 서비스를 제공받기 위해 통신망을 이용하여 회원정보 및 인물사진을 전송한 후 회원가입 승인을 요청하는 사용자 단말기와; 수신되는 상기 회원정보와 인물사진을 저장하고 관리하는 프로필 관리부와; 상기 인물사진으로 연상되는 동물상을 판단하여 상기 프로필 관리부에 전송하는 동물상 판단부와; 상기 사용자 단말기의 데이팅 요청이 수신되면, 동일 동물상의 사용자 정보를 우선으로 추천하는 데이팅 매칭부;를 포함하는 머신러닝 기반의 데이팅 커뮤니티 시스템이 개시된다."
공개,머신러닝 기반의 머리뼈 성별 추정 장치 및 그 방법(Apparatus for estimating headbone gender based on Machine learning and method thereof),"A61B 5/1171, A61B 6/00, A61B 6/03, G16H 50/20, G16H 50/70, G06N 3/0464",N/A,N/A,1020230000827 (2023.01.03),N/A,N/A,"본 발명은 머신러닝 기반의 머리뼈 성별 추정 장치 및 그 방법에 대한 것이다. 본 발명의 실시예에 따른 머신러닝 기반의 머리뼈 성별 추정 장치는 3차원 형태의 머리뼈 모델을 수집하는 데이터 수집부, 상기 수집된 3차원 형태의 머리뼈 모델로부터 2차원 형태의 머리뼈 이미지를 추출하고, 추출된 2차원 형태의 머리뼈 이미지를 이용하여 데이터 셋을 생성하는 데이터셋 생성부, 생성된 데이터셋을 CNN 기반의 추정 모델에 입력하여 2차원 형태의 머리뼈 이미지를 통해 성별을 추정하도록 학습시키는 학습부, 그리고 이용 대상자가 단말기를 통해 웹 또는 어플리케이션을 실행시킨 상태에서 업로드한 복수의 2차원 형태의 머리뼈 이미지를 기 학습된 추정 모델에 입력하여 머리뼈의 성별을 추정하는 추정부를 포함한다. 이와 같이 본 발명에 따르면, 전문 지식이나 측정 장비 없이도 어플리케이션 또는 웹을 이용하여 머리뼈의 성별을 추정할 수 있으며, 대량 재해 현장이나 제3 세계의 기술 접근 장벽을 완화하고 다른 국제 기간 프로그램과의 연동성을 구축하여 유연한 협업이 가능한 효과를 도모할 수 있다."
포기,머신러닝 기반 차량용 휠 베어링 운전 상태 평가 시스템 및 건전성 인자 분석을 통한 차량용 휠 베어링의 안전진단방법(MACHINE LEARNING BASED VEHICLE WHEEL BEARING STATUS EVALUATION SYSTEM AND VEHICLE WHEEL BEARING SAFETY DIAGNOSIS METHOD THROUGH HEALTH FACTOR ANALYSIS),"G01M 13/045, G01H 1/14, G01P 15/09, G06Q 50/10, G06N 20/00, G08C 17/02",N/A,N/A,1020220184277 (2022.12.26),N/A,N/A,"본 발명은 센서모듈 및 프로세서 모듈을 포함하는 머신러닝 기반 차량용 휠 베어링 운전 상태 평가 시스템을 통해, 상기 센서모듈의 가속도 센서가 휠 베어링의 가속도를 측정하는 데이터 획득단계; 상기 프로세서 모듈이 상기 데이터 측정단계에서 측정된 가속도의 진동 데이터를 수신받고 상기 진동 데이터의 외부 노이즈를 제거하는 노이즈 필터링단계; 상기 프로세서 모듈이 노이즈가 제거된 상기 진동 데이터로부터 건전성 특징인자를 특정하는 건전성 특징인자 추출단계; 및 상기 프로세서 모듈이 특정된 상기 건전성 특징인자를 분석하여 상기 휠 베어링의 고장 여부를 진단하는 고장 진단단계;를 포함하여 보다 정밀한 건전성 예측 및 관리가 가능한 건전성 인자 분석을 통한 차량용 휠 베어링의 안전진단방법에 관한 것이다."
등록,컴포넌트 기반의 머신러닝 자동화 예측 장치 및 방법(COMPONENT-BASED MACHINE LEARNING AUTOMATION DEVICE AND METHOD),G06N 20/00,N/A,N/A,1020190080226 (2019.07.03),N/A,10,"컴포넌트 기반의 머신러닝 자동화 예측 장치에 관한 것이며, 컴포넌트 기반의 머신러닝 자동화 예측 장치는, 복수의 데이터베이스 및 여러 환경의 데이터가 포함된 데이터를 포함하는 데이터부, 상기 데이터부의 접근을 관리하는 데이터 연결부, 상기 데이터 연결부를 통해서 접근된 상기 데이터부에 포함된 데이터 중 데이터 예측을 수행할 제1데이터 셋을 결정하는 데이터 선택부, 상기 데이터 선택부에서 결정된 데이터의 전처리를 수행하는 데이터 전처리부, 미리 학습된 지도 학습 기반의 학습 모델 또는 비지도 학습 기반의 인공지능 알고리즘에 적용하여 상기 데이터 전처리부에서 전처리된 데이터에 대한 예측을 수행하는 데이터 예측부 및 상기 데이터 예측부의 결과를 저장하는 데이터 결과부를 포함할 수 있다."
공개,머신러닝 기반 결함 검출 및 제거가 가능한 적층체 제조장치 및 이를 이용한 적층체 제조방법(ADDITIVE MANUFACTURING MACHINE CAPABLE OF DETECTING AND REMOVING DEFECTS BASED ON MACHINE-LEARNING AND MANUFACTURING METHOD FOR LAYERED STRUCTURE USING THEM),"B29C 64/393, B29C 64/209, G06T 7/00, G06T 1/00, H04N 7/18, G01N 21/88",N/A,N/A,1020220181381 (2022.12.22),N/A,N/A,"본 발명은 머신러닝 기반 결함 검출 및 제거가 가능한 적층체 제조장치 및 이를 이용한 적층체 제조방법에 관한 것이다. 이러한 본 발명의 일면에 따른 머신러닝 기반 결함 검출 및 제거가 가능한 적층체 제조장치는 재료를 용융하고, 용융된 재료를 압출하는 노즐을 구비하여 복수 개의 층이 적층되어 구성된 적층체를 제조하는 3D프린터; 상기 3D프린터에 구비되어 상기 적층체의 제조시 형성되는 상기 층의 일측을 촬영하여 이미지를 획득하는 제1이미지획득부; 상기 3D프린터에 구비되어 상기 적층체의 제조시 형성되는 상기 층의 일측과 수직 방향에 위치한 타측을 촬영하여 이미지를 획득하는 제2이미지획득부; 상기 적층체를 구성하는 층에 형성된 결함을 검출할 수 있도록 기설정된 딥러닝 모델을 이용하여 기학습된 학습모델; 상기 제1이미지획득부와 상기 제2이미지획득부로부터 이미지를 수신하며, 수신된 상기 이미지를 상기 학습모델에 적용하여 상기 적층체의 제조시 상기 층에 결함이 형성되었는지를 판단하는 결함검출부; 및 상기 결함검출부에서 결함이 검출되면 상기 3D프린터를 기설정된 홈좌표로 이동시킨 후 상기 홈좌표로 이동하기 이전의 위치로 재이동시키고, 상기 결함검출부에서 결함이 검출되지 않으면 상기 3D프린터가 상기 적층체를 구성하는 상기 층을 계속해서 형성하도록 제어하는 제어부;를 포함하는 것을 기술적 요지로 한다."
등록,플랜트 엔지니어링 업무 단계별 의사결정 지원을 위한 머신러닝 자동화 플랫폼 장치(MACHINE LEARNING AUTOMATION PLATFORM DEVICE FOR DECISION SUPPORT IN PLANT ENGINEERING),"G06Q 10/0637, G06Q 10/0639, G06Q 10/10, G06Q 10/0631, G06N 20/00, G06N 3/08",N/A,N/A,1020200022837 (2020.02.25),N/A,1,"엔지니어링 전주기 데이터를 활용한 데이터 분석 장치에 관한 것이며, 엔지니어링 전주기 데이터를 활용한 분석 장치는, 엔지니어링 산업의 전주기에서 발생하는 프로젝트 데이터를 수집하는 데이터 수집부, 신규 프로젝트 데이터를 입력받는 데이터 입력부, 상기 데이터 입력부에서 입력받은 상기 신규 프로젝트 데이터를 머신러닝 기반으로 학습된 학습 모듈에 적용하여 데이터 분석을 수행하는 머신러닝부 및 상기 머신러닝부의 분석 결과를 시각화하여 제공하는 시각화부를 포함할 수 있다."
공개,머신러닝 기반의 울타리 침입 감지 시스템용 감도 조절모드가 저장된 주제어기 메모리 서버(Sensitive mode mounted on the master controller memory server of machine learning based perimeter intrusion detection sensor system),"G08B 13/02, G08B 13/16, G08B 21/18, G08B 5/22, G01D 21/02, G01P 15/00",N/A,N/A,1020220077520 (2022.06.24),N/A,N/A,"본 발명은 국가 주요 보호시설에 대한 침입 시, 감지 효율을 높여주는 머신러닝 기반의 울타리 침입 감지 시스템용 주제어기 메모리 서버에 탑재된 감도 조절모드에 관한 것으로써, 더욱 상세하게는 구간별로 나누어진 각각의 울타리의 길이 방향을 따라 미리 정해진 간격으로 다수 설치되며, 울타리에 발생되는 충격과 진동에 의한 가속도 변화와, 울타리의 기울기 변화와, 울타리에 접근하는 대상 물체의 모션을 감지하여 경보 신호를 생성하는 지능형 복합센서; 각 울타리에 설치되어 환경센서로 풍속을 측정하여 수집하는 환경 수집장치; 구간별로 나누어진 각 울타리에 각각 대응하여 배치되고, 각 울타리에 설치된 지능형 복합센서와 환경 수집장치로부터 가속도 및 기울기 변화 데이터 및, 모션 데이터 및, 경보 신호 및, 풍속데이터를 전송받아 메인 서버에 전송하는 주제어기를 포함하되, 지능형 복합센서는 울타리에 발생되는 충격과 진동에 의한 가속도 및, 울타리의 기울기 변화를 감지하는 가속도 및 기울기 센서부; 울타리에 접근하는 대상 물체의 모션을 감지하는 모션 센서부; 이웃한 지능형 복합센서 및 주제어기와 각각 통신을 하는 통신부; 가속도 변화 데이터, 기울기 변화 데이터, 모션 데이터를 통해 경보 신호를 생성하여 통신부를 통해 주제어기에 전송하는 중앙처리부; 가속도 및 기울기 변화 데이터 및, 모션 데이터를 저장하는 메모리부; 중앙처리부에 전원을 공급하는 전원부를 포함하며, 주제어기는 지능형 복합센서 및 환경 수집장치 및 메인 서버와 각각 통신을 하는 통신부; 통신부를 통해 가속도 및 기울기 변화 데이터 및, 모션 데이터 및, 경보 신호 및, 풍속데이터를 전송받아 메인 서버에 전송하는 중앙처리부; 가속도 및 기울기 변화 데이터 및, 모션 데이터 및, 풍속데이터를 저장하는 메모리부; 중앙처리부에 전원을 공급하는 전원부를 포함하는 것을 특징으로 하는 머신러닝 기반의 울타리 침입 감지 시스템에 있어서, 주제어기의 메모리부는 사용자 PC와 통신을 하는 주제어기 메모리 서버가 내장되며, 주제어기 메모리 서버에는 감도 조절모드가 탑재되고, 주제어기 메모리 서버에서 감도 조절모드가 활성화되면, 감도 조절모드는 지능형 복합센서의 모션 센서부가 대상 물체의 모션을 감지하면 주제어기에 경보 신호를 전송하게 되고, 주제어기는 감지한 지능형 복합센서와 근접한 지능형 복합센서의 가속도 변화 임계값보다 낮은 가속도 변화 보정 임계값과, 보정 임계값 유지시간을, 감지한 지능형 복합센서와 근접한 지능형 복합센서에 전송하게 되며, 감지한 지능형 복합센서와 근접한 지능형 복합센서는 가속도 변화 임계값을, 전송된 가속도 변화 보정 임계값으로 보정하게 되면서, 보정 임계값 유지시간을 카운트하게 되고, 보정 임계값 유지시간 카운트가 종료되면, 감지한 지능형 복합센서와 근접한 지능형 복합센서의 가속도 변화 임계값을 원래 상태로 복원시키는 기능을 하는 것을 특징으로 하는 머신러닝 기반의 울타리 침입 감지 시스템용 주제어기 메모리 서버에 탑재된 감도 조절모드에 관한 것이다."
공개,머신러닝 기반의 울타리 침입 감지 시스템용 환경 필터가 저장된 주제어기 메모리 서버(Weather filter mounted on the master controller memory server of machine learning based perimeter intrusion detection sensor system),"G08B 13/02, G08B 13/16, G08B 21/18, G08B 5/22, G01D 21/02, G01P 15/00",N/A,N/A,1020220077521 (2022.06.24),N/A,N/A,"본 발명은 국가 주요 보호시설에서 기상 등에 대응하여 오경보를 줄여주는 머신러닝 기반의 울타리 침입 감지 시스템용 주제어기 메모리 서버에 탑재된 환경 필터에 관한 것으로써, 더욱 상세하게는 구간별로 나누어진 각각의 울타리의 길이 방향을 따라 미리 정해진 간격으로 다수 설치되며, 울타리에 발생되는 충격과 진동에 의한 가속도 변화와, 울타리의 기울기 변화와, 울타리에 접근하는 대상 물체의 모션을 감지하여 경보 신호를 생성하는 지능형 복합센서; 각 울타리에 설치되어 환경센서로 풍속을 측정하여 수집하는 환경 수집장치; 구간별로 나누어진 각 울타리에 각각 대응하여 배치되고, 각 울타리에 설치된 지능형 복합센서와 환경 수집장치로부터 가속도 및 기울기 변화 데이터 및, 모션 데이터 및, 경보 신호 및, 풍속데이터를 전송받아 메인 서버에 전송하는 주제어기를 포함하되, 지능형 복합센서는 울타리에 발생되는 충격과 진동에 의한 가속도 및, 울타리의 기울기 변화를 감지하는 가속도 및 기울기 센서부; 울타리에 접근하는 대상 물체의 모션을 감지하는 모션 센서부; 이웃한 지능형 복합센서 및 주제어기와 각각 통신을 하는 통신부; 가속도 변화 데이터, 기울기 변화 데이터, 모션 데이터를 통해 경보 신호를 생성하여 통신부를 통해 주제어기에 전송하는 중앙처리부; 가속도 및 기울기 변화 데이터 및, 모션 데이터를 저장하는 메모리부; 중앙처리부에 전원을 공급하는 전원부를 포함하며, 주제어기는 지능형 복합센서 및 환경 수집장치 및 메인 서버와 각각 통신을 하는 통신부; 통신부를 통해 가속도 및 기울기 변화 데이터 및, 모션 데이터 및, 경보 신호 및, 풍속데이터를 전송받아 메인 서버에 전송하는 중앙처리부; 가속도 및 기울기 변화 데이터 및, 모션 데이터 및, 풍속데이터를 저장하는 메모리부; 중앙처리부에 전원을 공급하는 전원부를 포함하는 것을 특징으로 하는 머신러닝 기반의 울타리 침입 감지 시스템에 있어서, 주제어기에 풍속 데이터를 전송해주는 환경 수집장치는 환경센서에서 측정된 아날로그 풍속 데이터를 입력받는 입/출력부; 아날로그 풍속 데이터를 디지털 풍속 데이터로 변환해주는 A/D컨버터; 주제어기와 통신을 하는 통신부; 디지털 풍속 데이터를 통신부를 통해 주제어기에 전송하는 중앙처리부; 디지털 풍속 데이터를 저장하는 메모리부; 중앙처리부에 전원을 공급하는 전원부를 포함하고, 주제어기의 메모리부는 사용자 PC와 통신을 하는 주제어기 메모리 서버가 내장되며, 주제어기 메모리 서버에는 환경 필터가 탑재되고, 주제어기 메모리 서버에서 환경 필터가 활성화되면, 환경 필터는 주제어기에 입력된 풍속 데이터 값이, 주제어기에 미리 저장된 지능형 복합센서의 가속도 변화 임계값을 보정 할 풍속 데이터 값에 도달하면, 주제어기는 지능형 복합센서의 가속도 변화 임계값보다 높은 가속도 변화 보정 임계값과, 보정 임계값 유지시간을, 지능형 복합센서에 전송하게 되며, 지능형 복합센서는 가속도 변화 임계값을, 전송된 가속도 변화 보정 임계값으로 보정하게 되면서, 보정 임계값 유지시간을 카운트하게 되고, 보정 임계값 유지시간 카운트가 종료되면, 지능형 복합센서의 가속도 변화 임계값을 원래 상태로 복원시키는 기능을 하는 것을 특징으로 하는 머신러닝 기반의 울타리 침입 감지 시스템용 주제어기 메모리 서버에 탑재된 환경 필터에 관한 것이다."
